Name,Time,Type,Hand,Direction,LaneX,LaneY,ApproachYaw
N0000,2.4,Slice,Left,Down,-25.0,0.0,0.0
N0001,3.6,Slice,Right,Down,25.0,-15.0,0.0
N0002,4.8,Slice,Left,Up,-25.0,0.0,0.0
N0003,6.0,Slice,Right,Up,25.0,15.0,0.0
N0004,7.2,Slice,Left,Down,-25.0,-15.0,0.0
N0005,8.4,Slice,Right,Down,25.0,-15.0,0.0
N0006,9.6,Slice,Left,Up,-25.0,15.0,0.0
N0007,10.8,Slice,Right,Up,25.0,-15.0,0.0
N0008,12.0,Slice,Left,Down,-25.0,0.0,0.0
N0009,13.2,Slice,Right,Down,25.0,15.0,0.0
N0010,14.4,Slice,Left,Up,-25.0,-15.0,0.0
N0011,15.6,Slice,Right,Up,25.0,-15.0,0.0
N0012,16.8,Slice,Left,Down,-25.0,-15.0,0.0
N0013,18.0,Shoot,Any,Any,60.0,30.0,0.0
N0014,19.8,Choice,Any,Any,0.0,15.0,0.0
N0015,21.6,Slice,Right,Down,25.0,-15.0,0.0
N0016,22.8,Shoot,Any,Any,60.0,30.0,0.0
N0017,24.0,Slice,Left,Up,-25.0,-15.0,0.0
N0018,25.2,Slice,Right,Up,25.0,-15.0,0.0
N0019,26.4,Slice,Left,Down,-25.0,-15.0,0.0
N0020,27.6,Shoot,Any,Any,-60.0,30.0,0.0
N0021,28.8,Slice,Right,Down,25.0,0.0,0.0
N0022,30.0,Shoot,Any,Any,30.0,30.0,-90.0
N0023,31.2,Slice,Left,Up,-25.0,15.0,0.0
N0024,32.4,Shoot,Any,Any,-60.0,30.0,-90.0
N0025,33.6,Slice,Right,Up,25.0,15.0,0.0
N0026,34.8,Shoot,Any,Any,-60.0,30.0,-90.0
